,GPA,GREQ,GREV,GREAWA
2031,3.7,,,NA
2032,3.24,170,159,4
2033,3.96,170,155,4.0
2034,3.96,170,155,4.0
2035,3.10,160,150,3
2036,3.8,167,165,6
2037,6.84,160,150,3
2038,3.5,170,155,3
2039,3.82,170,160,3.5
2040,3.8,169,162,4
2041,3.83,170,159,3.5
2042,3.7,167,154,3.5
2043,86,167,158,3.5
2044,86,167,158,3.5
2045,3.91,170,158,3.5
2046,3.98,165,162,5.0
2047,-,,,-
2048,3.99,160,157,4.5
2049,3.79,170,155,3.5
2050,3.83,170,165,4
2051,3.83,170,165,4
2052,4.0,168,153,3
2053,3.6,170,157,4.0
2054,3.6,170,157,4.0
2055,3.96,163,153,3.5
2056,3.66,167,153,3.5
2057,3.83,168,159,3.5
2058,3.88,170,156,4.0
2059,3.89,170,159,4.0
2060,3.895,165,161,4.5
2061,3.66,170,152,4.5
2062,3.98,165,162,5.0
2063,3.10,150,160,3
2064,3.10,160,150,3
2065,3.79,170,150,3.0
2066,3.76,166,152,3
2067,3.98,167,153,3
2068,3.66,170,152,4.5
2069,3.8,169,162,4
2070,3.78,166,152,3
2071,3.78,166,152,3
2072,3.76,166,152,3
2073,3.6,800,460,3.5
2074,3.7,168,162,6
2075,3.8,170,155,3
2076,3.895,165,161,4.5
2077,3.89,170,158,3
2078,3.84,170,159,4
2079,3.36,166,147,2.5
2080,3.99,169,156,3.5
2081,3.88,170,156,4.0
2082,3.88,170,156,4.0
2083,3.88,170,156,4.0
2084,3.88,170,156,4.0
2085,3.88,170,156,4.0
2086,3.88,170,156,4.0
2087,3.77,170,156,4
2088,3.7,168,149,3.0
2089,3.99,160,157,4.5
2090,3.99,160,157,4.5
2091,3.99,160,157,4.5
2092,3.99,160,157,4.5
2093,3.79,170,156,3.5
2094,3.66(WES),170,152,4.5
2095,8.56,165,150,4
2096,6.43,164,151,3.5
2097,3.79,170,150,3.0
2098,3.5,166,150,4
2099,3.81,170,147,3
2100,3.46,170,151,3
2101,3.7,170,160,3
2102,3.68,,,－
2103,3.5,166,150,4
2104,3.9,161,149,3
2105,3.93,170,157,3
2106,3.79,170,150,3.0
2107,3.75,,,na
2108,3.75,168,161,4.5
2109,3.3,170,151,3.5
2110,3.3,170,151,3.5
2111,6.43,164,151,3.5
2112,3.75,168,161,4.5
2113,3.7,165,159,4.5
2114,3.942,161,148,4
2115,3.81,170,147,3
2116,80,,,N/A
2117,6.43,164,151,3.5
2118,3.76,162,154,4
2119,3.76,162,154,4
2120,3.8,170,155,3
2121,3.66,167,153,3.5
2122,3.66,167,153,3.5
2123,3.84,170,159,3.0
2124,75%,170,149,3
2125,3.64,169,161,4.0
2126,4,169,154,5
2127,3.6,168,161,4.0
2128,3.6,168,161,4.0
2129,3.6,168,161,4.0
2130,3.89,170,159,4.0
2131,3.89,170,159,4.0
2132,?,,,none
2133,6.43,164,151,3.5
2134,3.78,170,155,4
2135,3.73,166,157,3
2136,3.83,168,159,3.5
2137,3.67,168,152,3.0
2138,3.3,170,152,4
2139,3.67,166,165,3.5
2140,4.0,170,153,3.0
2141,3.81,,,..
2142,-,,,-
2143,6.94,165,157,3.5
2144,3.51,167,152,3.5
2145,3.67,170,158,3
2146,3.64,169,161,4.0
2147,3.985,168,159,4.0
2148,3.96,163,153,3.5
2149,6.43,164,151,3.5
2150,3.82,168,158,3.5
2151,3.82,168,158,3.5
2152,3.82,170,160,3.5
2153,3.82,170,160,3.5
2154,3.82,170,160,3.5
2155,3.6,170,157,4.0
2156,8.8,170,161,4.5
2157,3.76,168,156,3
2158,3.8,170,152,3.0
2159,3.8,170,163,4.5
2160,3.95,170,157,4
2161,3.51,167,152,3.5
2162,3.83,170,159,3.5
2163,4.0,170,153,3.0
2164,3.79,170,150,3.0
2165,3.96,170,159,3.5
2166,3.7,165,159,4.5
2167,3.84,163,163,"3,5"
2168,3.83,170,149,3.0
2169,77%,168,149,3
2170,77%,168,149,3
2171,6.43,164,151,3.5
2172,3.85,168,165,5.0
2173,3.79,170,150,3.0
2174,3.62,168,158,4.5
2175,3.81,170,165,4.0
2176,3.79,170,150,3.0
2177,3.69,170,160,4.0
2178,3.69,170,160,4.0
2179,3.8/4.0,168,146,5.0
2180,3.9,170,157,4
2181,3.9,170,157,4
2182,3.9,170,157,4
2183,3.9,170,157,4
2184,3.81,169,158,4.5
2185,3.81,170,147,3
2186,3.84,,,n/a
2187,3.8,170,163,4.5
2188,3.78,168,159,3.5
2189,3.78,168,159,3.5
2190,77%,168,149,3
2191,3.6,170,157,4.0
2192,3.98,170,162,3.5
2193,3.84,170,161,3.5
2194,3.7,165,159,4.5
2195,3.74,168,154,3
2196,3.875,167,170,5.0
2197,3.82,164,155,3.5
2198,3.86,170,157,3.5
2199,3.5,170,154,3.0
2200,3.54,170,163,4.0
2201,3.79,170,150,3.0
2202,8.8,170,161,4.5
2203,3.63,170,160,3.5
2204,3.79,170,152,3.5
2205,3.79,170,152,3.5
2206,3.79,170,152,3.5
2207,3.8,169,162,4
2208,3.77,170,157,3.5
2209,3.67,168,152,3.0
2210,3.5,170,160,4
2211,3.9,170,155,3.5
2212,3.76,168,156,3
2213,3.76,168,156,3
2214,3.5,166,150,4
2215,3.88,170,157,3
2216,3.84,170,159,4
2217,3.73,165,153,4.0
2218,3.84,170,159,4
2219,3.75,170,165,5
2220,3.86,170,157,3.5
2221,3.82,170,160,3.5
2222,4.0,168,159,5.5
2223,3.6,168,161,4.0
2224,3.87,170,162,4
2225,3.55,170,161,4
2226,3.9,168,166,4.5
2227,3.72,,,-
2228,89/100,,,n
2229,3.98,170,160,4.5
2230,3.64,169,161,4.0
2231,3.86,168,160,5
2232,3.86,169,166,6
2233,3.83,168,164,4
2234,3.6,170,157,4.0
2235,3.98,168,154,4.0
2236,3.7,165,159,4.5
2237,3.75,168,157,3
2238,3.88,170,157,3
2239,3.83,170,159,3.5
2240,3.985,168,159,4.0
2241,3.65,168,164,3.5
2242,3.83,170,159,3.5
2243,6.94,165,157,3.5
2244,3.3,170,151,3.5
2245,3.3,170,151,3.5
2246,3.98,170,162,3.5
2247,3.89,170,159,4.0
2248,3.98,167,153,3
2249,3.63,169,162,3
2250,8.96,170,160,3
2251,3.61,170,152,3
2252,3.75,167,158,3
2253,3.5,165,153,3
2254,3.82,170,149,3.5
2255,3.82,164,155,3.5
2256,3.8,170,152,3.0
2257,3.8,800,620,3
2258,3.8,169,153,3
2259,3.56,160,151,3.5
2260,3.56,160,151,3.5
2261,3.56,160,151,3.5
2262,3.10,160,150,3
2263,3.7,170,158,3.5
2264,3.96,170,159,3.5
2265,3,169,151,3.5
2266,3.79,170,158,3.5
2267,3.5,170,161,5.5
2268,3.79,170,158,3.5
2269,3.95,170,157,4
2270,3.8,170,153,3
2271,3.95,170,157,4.0
2272,8,1,1,4.5
2273,3.82,170,161,3.5
2274,3.9,170,157,3.5
2275,3.83,170,165,4
2276,3.895,165,161,4.5
2277,3.895,165,161,4.5
2278,75%,170,149,3
2279,3.67,168,152,3.0
2280,3.73,165,153,4.0
2281,3.64,169,161,4.0
2282,4.00,168,159,5.5
2283,3.96,170,159,3.5
2284,3.88,170,162,4.5
2285,3.10,160,150,3
2286,3.85,167,162,4.5
2287,3.96 (WES),163,153,3.5
2288,3.8,170,153,3
2289,3.8,170,153,3
2290,6.43,164,151,3.5
2291,3.82,168,158,3.5
2292,3.82,168,158,3.5
2293,3.6,170,154,3.5
2294,3.6,170,154,3.5
2295,3.96,170,159,3.5
2296,3.81,170,147,3
2297,3.86,170,157,3.5
2298,3.85,167,152,4.0
2299,3.98,168,154,4
2300,3.90,167,145,3
2301,3.5,168,155,3
2302,3.98,170,162,3.5
2303,3.79,170,155,3.5
2304,3.79,170,155,3.5
2305,3.79,170,155,3.5
2306,3.79,170,155,3.5
2307,3.79,170,155,3.5
2308,3.88,170,157,3
2309,3.94,170,154,3.5
2310,3.98,170,162,3.5
2311,3.81,159,170,3.5
2312,5.79/10,170,160,4
2313,4.0,168,159,5.5
2314,3.8,170,151,3
2315,8.8,170,161,4.5
2316,3.8,170,159,3
2317,3.5,170,153,3
2318,3.5,170,153,3
2319,3.5,170,153,3
2320,3.7,170,153,3.5
2321,3.42,166,158,3.0
2322,4.0,170,158,3.5
2323,3.68,,,-
2324,3.6,170,156,3.5
2325,3.98,165,162,3.5
2326,89/100,,,n
2327,4.0,170,166,5
2328,3.9,168,166,4.5
2329,3.78,170,158,3.0
2330,3.83,170,154,3.5
2331,3.9,168,166,4.5
2332,3.9,168,166,4.5
2333,3.84,170,161,3.5
2334,8.8,170,161,4.5
2335,3.88,170,157,3
2336,3.8,170,151,3
2337,3.8,170,151,3
2338,3.83,170,159,3.5
2339,3.3,167,150,4.5
2340,3.7,168,149,3.0
2341,3.8,169,162,4
2342,3.98,168,161,4
2343,3.76,170,154,3.5
2344,3.76,170,154,3.5
2345,3.81,170,165,4.0
2346,3.83,170,159,3.5
2347,3.82,170,151,3.5
2348,3.67,166,165,3.5
2349,3.895,165,161,4.5
2350,3.985,168,159,4.0
2351,3.985,168,159,4.0
2352,3.98,170,162,3.5
2353,3.61,162,156,4.5
2354,6.94,165,157,3.5
2355,3.75,168,161,4.5
2356,3.85,167,162,4.5
2357,3.77,168,148,4.5
2358,3.8,170,158,3.5
2359,3.98,170,162,3.5
2360,3.98,170,162,3.5
2361,3.64,170,162,3.5
2362,2.7,166,157,3
2363,3.84,168,153,3
2364,3.8,170,156,3.5
2365,3.78,170,158,4.5
2366,3.63,170,156,4
2367,8.7/10,170,154,4.5
2368,3.77,170,157,3.5
2369,3.95,170,157,4
2370,3.6,163,143,3.5
2371,3.3,170,152,4
2372,3.61,162,156,4.5
2373,3.61,162,156,4.5
2374,3.61,162,156,4.5
2375,3.93,170,155,4
2376,3.6,,,--
2377,3.78,168,164,4.5
2378,3.64,164,149,4.5
2379,3.3,165,166,5
2380,3.98,165,162,3.5
2381,6.43,164,151,3.5
2382,3.64,169,161,4.0
2383,First Class,170,150,3.5
2384,3.51,167,152,3.5
2385,-,167,160,3.5
2386,3.7,168,149,3.0
2387,3.6,170,159,3
2388,3.5,170,164,3.5
2389,3.5,170,164,3.5
2390,3.5,170,164,3.5
2391,3.79,170,150,3.0
2392,3.93,170,160,4
2393,3.82,170,160,3.5
2394,3.8,169,162,4
2395,3.94,170,164,3.5
2396,8.5,170,158,3.5
2397,3.84,170,159,4
2398,1st Class,169,162,3.5
2399,1st class,169,162,3.5
2400,3.8,169,155,4.0
2401,3.8,169,154,4.0
2402,3.5,170,154,3.0
2403,3.92,170,163,3.5
2404,4.0,170,166,5
2405,4.0,170,166,5
2406,3.4,166,161,3
2407,3.8,170,155,4
2408,3.5,170,147,3.0
2409,3.8,169,162,4
2410,3.84,170,152,3.5
2411,3.60,170,158,3.5
2412,3.60,170,158,3.5
2413,3.79,164,152,3.5
2414,3.49,162,155,4.5
2415,4.0,168,159,5.5
2416,3.8,169,162,4
2417,3.2,166,154,4
2418,6.94,165,157,3.5
2419,3.88,170,157,3
2420,3.82,170,160,4
2421,3.59,170,163,3.5
2422,3.97,166,162,4.5
2423,3.6,168,166,5.5
2424,3.64,164,149,4.5
2425,3.6,170,157,4.0
2426,3.6,168,161,4.0
2427,3.6,168,161,4
2428,4.0,170,165,5.0
2429,3.95,170,159,3.5
2430,3.94,170,157,4
2431,3.8,169,162,4
2432,3.84,170,159,4
2433,3.58,164,152,3
2434,3.98,170,162,3.5
2435,3.98,170,162,3.5
2436,3.86,170,160,3.5
2437,3.79,164,154,3.5
2438,3.465,170,163,5.0
2439,3.58,164,152,3
2440,3.9,170,154,4.5
2441,3.7,168,149,3.0
2442,4.0,170,160,4.0
2443,3.83,170,165,4
2444,3.53,167,156,3.0
2445,3.65,170,153,3.0
2446,3.79,170,158,3.5
2447,3.84,163,163,3.5
2448,3.5,170,154,3.0
2449,3.96 (WES),163,153,3.5
2450,3.81,170,147,3
2451,3.82,170,160,3.5
2452,3.81,164,152,3.5
2453,3.82,167,156,4
2454,3.6,170,157,4.0
2455,Percentage Score - No GPA,50,44,4
2456,3.2,,,N/A
2457,3.5,47,44,5.5
2458,3.84,170,161,3.5
2459,3.5,161,150,4.0
2460,3.84,170,161,3.5
2461,3.9,170,153,4.5
2462,3.89,168,159,3
2463,4.0,170,165,5.0
2464,3.98,168,161,4
2465,3.88,170,157,3
2466,3.8,170,163,4.5
2467,3.8,170,163,4.5
2468,3.98,170,162,3.5
2469,3.78,170,161,4.5
2470,3.78,170,161,4.5
2471,3.4,168,158,4.0
2472,3.97,166,162,4.5
2473,3.875,168,160,5
2474,6.94,165,157,3.5
2475,3.67,170,153,3.5
2476,3.78,170,158,3.0
2477,3.50,170,159,4.0
2478,3.94,170,164,3.5
2479,3.71,166,153,3.5
2480,3.99,168,160,3
2481,3.94,170,157,4
2482,3.82,170,160,3.5
2483,3.55,170,153,4
2484,3.52,170,155,3.5
2485,3.88,170,157,3
2486,3.88,170,157,3
2487,4.0,170,153,3.0
2488,9.42/10,167,151,4.0
2489,3.81,170,165,4.0
2490,3.81,170,165,4.0
2491,3.67,166,165,3.5
2492,3.67,166,165,3.5
2493,3.67,166,165,3.5
2494,3.5,170,164,3.5
2495,3.5,170,164,3.5
2496,3.5,170,164,3.5
2497,3.5,170,164,3.5
2498,3.5,170,164,3.5
2499,3.5,170,164,3.5
2500,3.5,170,164,3.5
2501,3.5,170,164,3.5
2502,3.84,170,161,3.5
2503,3.3,800,550,5
2504,3.83,170,149,3.0
2505,3.94,170,157,4
2506,3.6,168,157,4.0
2507,3.9,168,156,3
2508,3.465,170,163,5.0
2509,3.46,170,156,3.5
2510,3.89,170,160,3.0
2511,3.5,168,166,6
2512,3.76,170,163,4.0
2513,3.76,170,163,4.0
2514,3.8,169,162,4
2515,1st,170,159,4.0
2516,1st,170,159,4.0
2517,1st,170,159,4.0
2518,3.44,170,160,5
2519,3.6,170,169,5.5
2520,3.85,167,152,4.0
2521,3.93,170,158,4.0
2522,3.94,170,157,4
2523,3.61,170,153,3.5
2524,3.85,168,152,3
2525,3.8,169,162,4
2526,3.7,167,160,5.0
2527,3.56,170,162,4
2528,3.7,167,163,4
2529,3.5,166,150,4
2530,3.55,170,151,3.0
2531,3.4,168,158,4.0
2532,3.88,165,156,4.5
2533,3.88,165,156,4.5
2534,3.88,165,156,4.5
2535,3.8,166,162,4
2536,3.58,164,152,3
2537,3.2,170,159,4.5
2538,3.83,169,160,3.5
2539,3.83,169,160,3.5
2540,3.73,168,157,3.0
2541,3.63,170,158,4
2542,3.53,170,164,4.0
2543,3.6,166,152,3
2544,3.5,162,149,3
2545,3.90,168,159,4.5
2546,3.5,170,159,3.0
2547,3.80,163,150,4
2548,3.3,153,168,3.5
2549,3.74,170,157,3.5
2550,3.74,170,157,3.5
2551,3.74,170,157,3.5
2552,3.74,170,157,3.5
2553,3.74,170,157,3.5
2554,86,130,130,319
2555,3.0,168,161,4.0
2556,3.25,168,161,4.0
2557,3.77,170,155,3.0
2558,3.2,165,146,4
2559,3.9,162,157,4.5
2560,75%,160,148,4
2561,3.90,168,157,5.0
2562,3.5/3.8,168,162,3.5
2563,3.73,168,160,4.5
2564,3.82,167,161,4.5
2565,3.72/4.3,170,161,4.0
2566,2.75,168,161,4.0
2567,3.69,167,149,3.0
2568,3.94,170,158,4.0
2569,3.94,170,158,4.0
2570,3.94,170,158,4.0
2571,3.94,170,158,4.0
2572,-,,,-
2573,3.8,170,153,3.5
2574,3.8,170,153,3.5
2575,3.8,170,153,3.5
2576,3.93,168,152,3.5
2577,3.76,170,165,3
2578,3.5,168,170,4.5
2579,3.9,160,160,5
2580,3.0,169,156,4
2581,3.7,166,158,3
2582,3.7,170,160,5.5
2583,3.95,168,163,3
2584,3.95,168,163,3
2585,3.0,169,156,4
2586,8.06/10,168,162,3
2587,8.06/10,168,162,3
2588,8.06/10,168,162,3
2589,3.52,166,157,4.0
2590,3.7,166,158,3
2591,4.4/5,165,155,4
2592,3.8,168,161,3
2593,3.5,168,154,3.5
2594,3.8,170,160,4.5
2595,3.60,167,153,3
2596,3.6,167,153,3.0
2597,3.60,167,153,3
2598,3.6,167,153,3
2599,3.6,167,153,3
2600,3.6,167,153,3
2601,3.6,167,153,3
2602,3.8,168,161,3.0
2603,3.7,170,152,3
2604,3.48,162,156,4.5
2605,3.5,168,149,3
2606,80.15%,166,158,4.0
2607,3.8,169,158,3.5
2608,3.8,169,158,3.5
2609,3.5,149,168,3
2610,3.73,167,159,3.5
2611,3.73,167,159,3.5
2612,3.0,170,158,5.5
2613,7.5/10,167,164,4
2614,3.72,168,159,4.5
2615,3.4,168,161,6
2616,3.78,168,161,3.0
2617,4.0,164,164,5.5
2618,4.0,164,164,5.5
2619,4.0,164,164,5.5
2620,3.6,170,160,4.5
2621,3.5,168,149,3
2622,3.5,168,149,3
2623,3.36,168,159,4.0
2624,3.74,170,159,3.5
2625,3.82,170,162,4.0
2626,3.82,158,170,4.0
2627,3.55,165,152,4.0
2628,3.55,165,152,4
2629,3.5,168,144,3.0
2630,4.0,168,159,3.5
2631,4.0,168,159,3.5
2632,4.0,168,159,3.5
2633,3.92,165,169,4
2634,3.8,169,155,3.5
2635,3.0,166,152,3.5
2636,3.3,169,163,5.0
2637,3.71,167,164,4.5
2638,4.0,170,162,3.5
2639,3.5,166,166,5.5
2640,3.5,166,166,5.5
2641,3.5,166,166,5.5
2642,3.5,166,166,5.5
2643,3.1,167,168,5.5
2644,3.32,165,159,3.5
2645,3.78,168,161,3.0
2646,17.53/20,,,GMAT AWA 4.5
2647,3.75,167,155,3
2648,3.48,150,161,4.5
2649,3.55,170,160,3.5
2650,3.5,168,149,3
2651,3.73,170,159,3.5
2652,3.92,165,169,4.0
2653,3.0,166,166,5.0
2654,3.13,160,152,3.0
2655,3.84,168,150,3
2656,3.52,168,157,5.0
2657,3.8,168,165,5.5
2658,6.53/10,168,162,3.5
2659,3.81,168,153,3.5
2660,3.80,170,157,3.0
2661,3.6,170,160,3.5
2662,3.4,170,155,3.5
2663,3.4,170,155,3.5
2664,3.57,50,39,5.5
2665,3.57,50,39,5.5
2666,3.57,168,163,5.5
2667,3.57,168,163,5.5
2668,NA,164,154,5.5
2669,3.69,167,149,3
2670,3.4,170,155,3.5
2671,3.84,168,150,3
2672,3.88,165,154,4.5
2673,3.97,165,155,4
2674,3.58,167,161,4
2675,3.81,170,156,3.0
2676,3.80,170,157,3.0
2677,3.8,170,155,4
2678,8.06/10,168,162,3
2679,3.54,167,159,4
2680,3.6,163,152,3
2681,3.63,169,155,3.0
2682,3.68,170,154,4.0
2683,3.7,170,154,3
2684,3.84,168,150,3
2685,75%,170,149,3
2686,75%,170,149,3
2687,3.5,168,170,4.5
2688,3.97,170,157,5
2689,3.7,170,165,4
2690,75%,160,148,4.0
2691,3.91,166,170,4.5
2692,3.4,166,169,3.5
2693,3.5,169,157,3.0
2694,First Class,168,155,4.0
2695,3.33,169,154,3.5
2696,3.7,167,160,5.0
2697,3.56,50,40,5
2698,3.56,168,164,5
2699,3.5,168,144,3.0
2700,3.8,170,157,4.5
2701,3.69,167,149,3.0
2702,3.69,167,149,3.0
2703,3.65,170,157,3.5
2704,3.0,166,164,4
2705,3.0,166,164,4
2706,NA,163,152,3.0
2707,3.80,170,157,3.0
2708,3.71,166,153,4
2709,3.8,166,153,3.5
2710,3.8,166,153,3.5
2711,3.71,166,153,3.5
2712,3.78,168,155,3.5
2713,3.34,170,154,3
2714,3.7,168,150,3.5
2715,2.90,156,148,3.5
2716,3.52,162,143,3.0
2717,3.4,168,158,3.0
2718,3.8,168,161,3.0
2719,3.8,170,157,4.5
2720,7.4,51,44,5
2721,3.93,170,158,3.0
2722,3.78,167,151,3
2723,3.97,170,154,3
2724,3.55,170,151,3.0
2725,3.89,169,161,3.0
2726,3.16,170,155,3
2727,3.69,167,149,3.0
2728,3.69,167,149,3.0
2729,3.61,170,152,3.5
2730,N/A,,,N/A
2731,3.70,167,154,4.0
2732,3.8,170,157,4.5
2733,3.71,163,159,3
2734,3.54,166,152,4.0
2735,3.55,170,151,3.0
2736,3.6,170,150,3.5
2737,3.93,170,156,3.5
2738,9.05/10,170,165,3
2739,n/a,168,160,4.0
2740,3.8,,,-
2741,3.3,169,156,5
2742,3.8,168,158,3.5
2743,3.64,169,159,3.5
2744,3.8,167,160,4.5
2745,3.8,170,157,4.5
2746,3.93/4,167,150,4.5
2747,3.8,170,155,4.5
2748,3.73,170,156,3.0
2749,3.93,170,158,3.0
2750,3.70,170,159,3.5
2751,4.0,164,164,5.5
2752,4.0,164,164,5.5
2753,4.0,164,164,5.5
2754,80.15%,166,158,4.0
2755,3.6,162,152,2.5
2756,3.93,170,158,3.0
2757,3.2,167,168,5.5
2758,2.91,168,157,4
2759,2.91,168,157,4
2760,3.84,168,150,3
2761,3.91,170,158,3.5
2762,3.91,170,158,3.5
2763,3.6,162,152,3
2764,3.97,170,162,4.5
2765,3.54,167,159,4
2766,3.54,167,159,4
2767,3.54,167,159,4
2768,3.65,170,157,3.5
2769,90.4/100,157,170,3
2770,3.65,170,157,3.5
2771,3.73,170,156,3
2772,3.73,170,156,3
2773,3.63,169,155,3.0
2774,3.63,169,155,3.0
2775,3.82,170,165,4.0
2776,3.82,170,165,4.0
2777,3.94,168,157,3
2778,3.8,170,153,3.5
2779,first in department,169,155,4
2780,3.48,170,150,3
2781,3.5,168,170,4.5
2782,3.0,170,158,5.5
2783,3.91,163,150,3.0
2784,3.84,160,156,3.5
2785,3.0,166,152,3.5
2786,3.0,166,152,3.5
2787,3.8,168,161,3.0
2788,3.80 in WES,170,156,3.5
2789,3.0,170,158,5.5
2790,3.0,170,158,5.5
2791,3.0,170,158,5.5
2792,3.0,170,158,5.5
2793,3.0,170,158,5.5
2794,3.0,170,158,5.5
2795,3.98,167,165,3.5
2796,3.8,166,160,3.5
2797,3.4,170,152,3
2798,3.55,170,151,3.0
2799,3.55,170,151,3.0
2800,3.55,170,151,3.0
2801,9.05/10,170,165,3
2802,3.5,166,158,4
2803,3.70,170,159,3.5
2804,87/100,170,157,3.5
2805,3.33,169,154,3.5
2806,3.33,169,154,3.5
2807,3.73,170,156,3.0
2808,3.34,170,150,3
2809,3.56,170,149,3.0
2810,3.48,163,150,4.5
2811,3.7,,,-
2812,3.56,166,154,3
2813,4.0,51,26,5
2814,3.86,170,153,3.5
2815,3.941,168,152,3.5
2816,3.91,164,160,3.5
2817,3.95,167,159,5.0
2818,na,170,155,5.0
2819,3.8,170,154,3.0
2820,3.8,170,154,3
2821,3.89,169,161,3.0
2822,6.89/10,51,41,5.5
2823,4.0,170,161,4
2824,3.78,166,150,3.5
2825,3.54,166,152,4
2826,3.65,166,165,3.5
2827,3.9,170,165,3.0
2828,3.95,168,163,3.0
2829,3.56,170,149,3.0
2830,3.63,169,155,3.0
2831,3.56,170,149,3.0
2832,3.06,165,149,3.0
2833,3.2,,,-
2834,3.75,170,153,4
2835,3.86,170,159,3.5
2836,3.7,170,160,4.0
2837,3.58,164,152,3
2838,89.5 / 100,800,700,5
2839,3.9,169,156,3.5
2840,3.95,170,160,3.5
2841,3.80,170,157,3.0
2842,3.80,170,157,3.0
2843,3.93,170,158,3.0
2844,3.5,170,155,3.0
2845,3.78,167,151,3
2846,3.63,169,155,3.0
2847,3.4,170,155,3.5
2848,3.79,170,145,3
2849,3.82,167,153,-
2850,3.82,167,153,-
2851,3.82,167,153,-
2852,3.941,168,152,3.5
2853,9/10,170,165,3
2854,3.8,165,167,4.5
2855,3.8,165,167,4.5
2856,3.8,165,167,4.5
2857,First Class,168,155,4.0
2858,3.92,165,169,4.0
2859,3.48,170,150,3
2860,3.48,170,150,3
2861,3.5,170,155,3.0
2862,3.5,170,155,3.0
2863,3.34,160,150,3.5
2864,3.73,170,159,3.5
2865,3.73,170,159,3.5
2866,3.73,170,159,3.5
2867,3.73,170,159,3.5
2868,3.73,170,159,3.5
2869,3.9,170,166,3.5
2870,7.85/10,168,154,3.5
2871,3.4,170,162,4.0
2872,3.4,170,160,3
2873,3.4,170,155,3.5
2874,84/100,168,152,3.0
2875,na,170,155,5.0
2876,3.7,,,N/A
2877,3.91,170,158,3.5
2878,2.75,168,161,4.0
2879,2.75,168,161,4.0
2880,3.86,170,159,3.5
2881,88/100,168,147,3
2882,3.54,166,152,4
2883,3.54,166,152,4
2884,7.94,169,157,3
2885,3.5,169,157,3.0
2886,na,170,155,5.0
2887,3.94,164,154,3.5
2888,3.95,167,158,5
2889,3.34,170,154,3
2890,3.74,170,159,3.5
2891,3.16,170,155,3
2892,90/100,170,150,3
2893,90.4,170,157,3
2894,3.9,170,157,3.5
2895,3.56,170,147,3.5
2896,3.56,170,147,3.5
2897,3.56,170,147,3.5
2898,3.6,170,157,3
2899,3.6,170,157,3
2900,3.95,167,159,5.0
2901,3.7,170,154,3
2902,3.92,165,169,4.0
2903,3.97,170,154,3.0
2904,3.97,170,154,3
2905,3.9,170,157,3.5
2906,3.8,168,161,3.0
2907,7.45/10,167,164,4
2908,7.45,167,164,4
2909,4.0,161,150,3.0
2910,8.42/10,167,155,3
2911,3.34,168,153,3
2912,3.8,170,153,3.5
2913,3.8,170,153,3.5
2914,3.8,170,153,3.5
2915,4.98/5.0,170,159,4.0
2916,3.0,166,152,3.5
2917,3.94,170,158,4.0
2918,84/100,168,152,3.0
2919,n/a,170,155,5.0
2920,n/a,170,155,5.0
2921,na,170,155,5.0
2922,na,170,155,5.0
2923,na,170,155,5
2924,na,170,155,5.0
2925,na,170,155,5.0
2926,3.5,170,165,3.0
2927,3.82,170,165,4.0
2928,3.82,170,165,4.0
2929,3.82,170,165,4.0
2930,3.4,166,142,3.5
2931,3.4,166,142,3.5
2932,3.4,166,142,3.5
2933,3.6,168,164,5.0
2934,3.1,168,152,3.5
2935,3.71,170,164,5.0
2936,3.7,,,na
2937,3.51,170,155,3.5
2938,2.7,163,154,4.5
2939,8.8/10,,,5.5
2940,3.85,169,167,3.5
2941,3.7,167,160,5
2942,3.4,170,152,3
2943,3.61,170,152,3.5
2944,3.74,170,159,3.5
2945,3.63,169,155,3.0
2946,3.5,168,170,4.5
2947,n.a,,,n.a
2948,3.33,169,154,3.5
2949,3.4,170,162,4
2950,3.89,169,161,3.0
2951,3.93,170,158,3.0
2952,3.93,170,158,3.0
2953,3.5,168,170,4.5
2954,96/100,167,152,4.5
2955,3.0,166,152,3.5
2956,3.8,170,153,3.5
2957,3.88,165,156,4.5
2958,89,168,147,3
2959,3.83,169,154,3.5
2960,3.83,169,154,3.5
2961,3.58,164,152,3
2962,3.77,168,157,3.5
2963,3.5,170,160,3.5
2964,3.52,168,157,5.0
2965,3.52,168,157,5.0
2966,3.73,167,159,3.5
2967,3.8,168,161,3.0
2968,3.70,170,159,3.5
2969,3.80,170,157,3.0
2970,3.73,167,159,3.5
2971,3.73,167,159,3.5
2972,3.95,167,159,5.0
2973,3,164,151,3.5
2974,3.86,170,159,3.5
2975,96/100,167,152,4.5
2976,3.70,167,154,4.0
2977,3.86,170,159,3.5
2978,3.86,170,159,3.5
2979,3.5,168,166,6
2980,3.8,170,157,3.5
2981,3.56,166,154,3.0
2982,3.8,170,154,3.0
2983,3.6,170,157,3
2984,3.64,169,159,3.5
2985,3.64,169,159,3.5
2986,3.7,167,162,3.0
2987,First Class,170,155,5
2988,First Class,170,155,5
2989,NA,,,NA
2990,4.98/5.0,170,159,4.0
2991,4.98/5.0,170,159,4.0
2992,4.98/5.0,170,159,4.0
2993,3.6,165,160,3.5
2994,3.7,,,na
2995,3.8,170,161,3.5
2996,8.91/10,,,GMAT 5.5
2997,3.9,164,153,3.5
2998,3.55,165,152,4
2999,3.55,165,152,4.0
3000,3.80,170,157,3.0
3001,3.7,160,153,3.0
